doc_name,ClasstargetResult,ARI readability feature,Articles count,Auxiliary verbs count,Char Count,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per length,Complete URL link count per section,Coordination conjunctions count,Correlative conjunctions count,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per length,Images per section,Images per subsection,Indefinite pronouns count,Interrogative pronouns count,Large paragraph count,Large phrase count,Large phrase rate,Largest phrase size,Largest section size,Lasbarhetsindex readability feature,Mean section size,Mean subsection size,Paragraph count,Phrase count,Prepositions count,Pronouns count,Relative URL link count,Relative URL link count per length,Relative URL link count per section,Relative pronoums count,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,Shortest section size,Standard deviation of the section size,Subordinating conjunctions count,Subsection count,To be verbs count,Word Count
2174,5.0c,16.004325396825394,457,111,37913,12.075335844318891,59,0.001556194445177116,59,207,9,14.88929232804233,38.97995409604522,15.804183481302127,7,0.0001846332392583019,7,7,63,28,0,191,0.3080357142857143,675,0,39.51045870325532,0,2387.8,1,224,677,134,485,0.012792445862896632,485,66,82.82480817390042,83,0.0021892226940627224,83,0,23,0,0,0,2,0,16,11,0,15,0,0.5758928571428571,0,0,134,15,112,6372
2219,3.0c,14.231409407121788,730,140,51855,12.646555873242791,57,0.0010992189759907434,57,289,23,14.151544107628858,35.717526573306884,15.04773510253803,21,0.000404975412207116,21,21,93,22,0,311,0.3661971830985915,474,0,37.619337756345075,0,4519.1,1,355,1081,207,470,0.009063735416064023,470,75,94.61877536837086,21,0.000404975412207116,21,0,47,0,0,0,5,0,24,42,0,17,0,0.523943661971831,0,0,185,10,212,8394
2408,1.0c,20.776668443496803,178,51,20579,19.95529140014214,47,0.00228388162690121,47,123,5,18.278401741293532,8.765960820895543,19.957604832977967,1,4.8593226104281064e-05,1,1,36,18,0,107,0.30357142857142855,295,0,49.89401208244492,0,1628.1666666666667,1,112,353,68,133,0.006462899071869381,133,24,56.04714883949938,9,0.0004373390349385296,9,0,9,0,3,0,2,0,11,6,0,6,0,0.5625,0,0,53,12,62,2814
2442,4.0c,20.325563127690096,119,22,11197,21.338231707317075,62,0.005537197463606323,62,62,6,15.05225888729476,25.805968436154956,16.134927466921727,4,0.00035723854603911763,4,4,28,3,0,59,0.3088235294117647,179,0,40.33731866730432,0,2461,1,68,174,53,123,0.010985085290702868,123,24,41.41874542459709,9,0.0008037867285880147,9,0,11,0,0,0,3,0,1,14,0,1,0,0.5441176470588235,0,0,20,4,34,1476
2593,4.0c,22.077998615472097,203,31,24616,16.696029371770468,34,0.0013812154696132596,34,149,7,19.711635003832175,13.27759911736348,22.32385986599748,1,4.062398440038999e-05,1,1,39,6,0,89,0.2636363636363636,648,0,55.8096496649937,0,1817.3333333333333,1,110,434,84,283,0.011496587585310369,283,38,63.63827174318213,16,0.0006499837504062399,16,0,13,0,0,0,2,0,6,11,0,5,0,0.7090909090909091,0,0,64,12,58,3677
2834,5.0c,11.64890673531167,429,173,37293,12.514782681377463,32,0.0008580698790657764,32,237,27,11.975128497274302,41.39601867536146,13.273804091024331,7,0.0001877027860456386,7,7,70,29,0,233,0.4108761329305136,376,0,33.18451022756083,0,3484.7,1,331,783,414,108,0.0028959858418469956,108,125,80.34339015067803,90,0.002413321534872496,90,0,22,2,13,1,4,0,17,19,0,12,0,0.5196374622356495,0,0,148,10,122,5982
2963,4.0c,14.648924965879374,390,105,32262,12.028417080802503,0,0,0,204,17,14.455764970532975,37.06707431263871,16.21449944260963,1,3.099621846134772e-05,1,1,75,25,0,188,0.37735849056603776,438,0,40.53624860652407,0,3919.5,1,212,663,163,385,0.011933544107618871,385,53,76.70888684548153,34,0.0010538714276858224,34,0,13,1,1,0,4,0,12,10,0,6,0,0.5188679245283019,0,0,140,8,112,5433
2995,5.0c,14.35637592681782,445,123,33883,14.18029024250525,39,0.0011510196853879526,39,194,25,12.910415766358806,40.265193187062806,13.774078400419311,8,0.00023610660213086208,8,8,68,16,0,197,0.3805668016194332,319,0,34.43519600104828,0,3161.2,1,247,653,227,177,0.005223858572145324,177,97,75.3671196055225,89,0.002626685948705841,89,0,22,0,2,1,6,1,17,25,0,14,0,0.5344129554655871,0,0,130,10,154,5237
3185,2.0c,12.199334304296832,407,136,33725,12.527625252339876,33,0.000978502594514455,33,206,16,12.834601293229678,37.460746792631625,14.62208590554061,12,0.0003558191252779837,12,12,92,11,0,247,0.31560283687943264,341,0,36.55521476385152,0,3595,1,282,679,134,215,0.006375092661230541,215,56,76.81734213584231,71,0.002105263157894737,71,0,16,0,2,0,8,1,21,9,1,12,0,0.5283687943262412,0,0,128,9,136,5449
3382,3.0c,9.49137068238889,340,73,32377,10.73432917888563,61,0.0018840534947648024,61,162,6,10.38400424956539,49.709479428240314,10.412430856761551,3,9.265836859499028e-05,3,3,76,15,0,222,0.4011976047904192,349,0,26.031077141903875,0,3332.4444444444443,1,334,593,298,254,0.007845075207709176,254,57,76.86474125047755,175,0.005405071501374432,175,0,14,1,3,0,4,0,12,28,0,9,0,0.5119760479041916,0,0,80,9,77,5456
3383,3.0c,14.328427202057483,591,88,46358,14.806184864404372,124,0.002674834979938738,124,303,11,14.270259828424098,28.38933395545871,14.949312825113266,19,0.0004098537469260969,19,19,71,12,0,295,0.32670454545454547,369,0,37.37328206278316,0,4369.5,1,352,799,97,527,0.011368048664739635,527,41,86.92258337301111,182,0.003925967470555244,182,0,35,0,0,0,8,1,27,14,1,21,0,0.5227272727272727,0,0,130,10,100,7043
3392,4.0c,14.022248945090396,786,85,59250,12.658610883797053,60,0.0010126582278481011,60,344,24,13.940191124797355,36.37932737878237,15.252439090605876,16,0.000270042194092827,16,16,94,22,0,337,0.3009478672985782,693,0,38.13109772651469,0,3900.5333333333338,1,422,1097,130,738,0.012455696202531645,738,65,101.8736567544662,21,0.00035443037974683546,21,0,49,1,1,1,5,1,29,21,1,12,0,0.6018957345971564,0,0,152,15,152,9776
3454,5.0c,16.718288698600617,428,71,37420,17.4627624206201,101,0.002699091394975949,101,207,12,14.03319275308181,31.128764733772044,14.43042326369932,12,0.00032068412613575625,12,12,62,13,0,223,0.3346153846153846,337,0,36.0760581592483,0,3193.181818181818,1,260,677,82,349,0.009326563335114913,349,44,76.17103251970687,70,0.0018706574024585784,70,0,37,0,0,0,8,0,30,12,0,13,0,0.5692307692307692,0,0,93,11,120,5354
3457,5.0c,16.12265320889749,556,71,41568,16.079939866731674,118,0.002838722093918399,118,248,17,14.533280326928343,29.591198140009283,15.49025388517423,19,0.0004570823710546574,19,19,67,12,0,247,0.3392226148409894,356,0,38.72563471293557,0,2988.769230769231,1,283,811,106,381,0.00916570438799076,381,53,81.44106067615353,163,0.003921285604311008,163,0,28,0,1,1,9,0,20,8,0,11,0,0.5300353356890459,0,0,132,13,122,6153
3736,4.0c,12.213450358303866,1230,149,83432,12.500159875074363,117,0.0014023396298782245,117,575,32,12.2824216929214,41.567048263719926,13.116149340777538,8,9.588647041902388e-05,8,8,155,51,0,495,0.36796536796536794,751,0,32.79037335194384,0,7246.818181818182,1,693,1829,362,596,0.007143542046217278,596,147,118.9655121145938,220,0.0026368779365231565,220,0,65,1,4,5,14,3,39,47,4,27,0,0.5310245310245311,0,0,267,11,238,13448
4054,5.0c,12.08111186373759,1197,221,78373,11.778421298095608,53,0.000676253301519656,53,518,40,12.568419947069389,41.324674288552075,13.57206275177515,25,0.00031898740637719623,25,25,172,21,0,499,0.4238095238095238,664,0,33.930156879437874,0,5430.142857142857,1,630,1710,352,600,0.007655697753052709,600,123,116.42398335449164,198,0.0025263802585073943,198,0,87,1,9,7,14,1,49,41,1,21,2,0.4841269841269842,0,0,238,14,330,12865
4068,5.0c,11.487788201287607,468,96,36885,13.190144702842378,74,0.002006235597126203,74,222,17,11.40096344472182,42.53056530022337,11.98912392881648,4,0.0001084451674122272,4,4,79,42,0,233,0.3700564971751412,350,0,29.972809822041196,0,3225.3636363636365,1,354,792,316,208,0.005639148705435814,208,96,79.19055059520177,23,0.0006235597126203064,23,0,21,0,5,0,6,3,32,34,2,14,0,0.5423728813559322,0,0,120,11,126,5805
4116,5.0c,16.971585698665514,741,175,46710,14.701194855483331,66,0.0014129736673089274,66,257,28,15.665617843437875,29.075977339273663,17.285799052640062,8,0.00017126953543138517,8,8,114,24,0,257,0.4064748201438849,440,0,43.21449763160015,0,4443.3,1,278,952,261,384,0.008220937700706487,384,149,88.03528679318957,74,0.0015842432027403123,74,0,31,0,7,1,10,2,28,29,1,24,0,0.4892086330935252,0,0,159,10,175,7231
4220,5.0c,20.021217312511503,446,115,47771,20.03088304002492,62,0.0012978585334198572,62,232,14,17.864097486939162,8.573236969602618,15.955428296357123,5,0.00010466601075966592,5,5,106,26,0,231,0.29818181818181816,551,0,39.88857074089281,0,3580.4615384615386,1,275,642,93,298,0.006238094241276088,298,48,83.1311425102625,58,0.0012141257248121243,58,0,22,0,9,1,13,3,13,15,1,16,0,0.6036363636363636,0,0,142,13,111,6421
4230,3.0c,15.599683040368092,345,64,29068,14.88464412811388,80,0.002752167331773772,80,177,6,14.850099212768251,29.03856878392466,17.410230418059598,9,0.0003096188248245493,9,9,66,12,0,166,0.25252525252525254,473,0,43.525576045148995,0,2725.7,1,198,480,117,354,0.01217834044309894,354,67,70.05221845696084,12,0.00041282509976606576,12,0,26,0,0,0,14,0,10,23,0,7,0,0.6212121212121212,0,0,67,10,63,4496
4234,4.0c,13.960340426346209,220,66,16622,12.504247132815388,29,0.00174467573095897,29,101,11,13.871553286897065,37.11338374028858,15.195643410259358,1,6.016123210203345e-05,1,1,48,18,0,102,0.3793103448275862,278,0,37.98910852564839,0,2210.1428571428573,1,116,318,105,103,0.006196606906509445,103,40,54.99038372622383,12,0.0007219347852244014,12,0,12,0,2,0,2,4,12,8,4,6,0,0.5431034482758621,0,0,56,7,46,2703
4251,5.0c,18.035751008436428,525,106,39147,15.233354557640748,65,0.001660408204971007,65,262,8,17.897789741004015,15.50427669282044,20.213193300046733,9,0.00022990267453444708,9,9,72,20,0,198,0.3486238532110092,446,0,50.53298325011683,0,3407.5454545454545,1,218,774,173,206,0.005262216772677344,206,78,80.25283166331187,138,0.003525174342861522,138,0,17,0,0,0,1,1,9,8,1,6,0,0.5596330275229358,0,0,112,11,113,5968
4329,3.0c,11.409623718664363,412,82,22680,9.698273453093808,47,0.002072310405643739,47,153,13,12.036396021516293,49.09917537805748,12.820102168544269,9,0.0003968253968253968,9,9,81,10,0,165,0.3446327683615819,360,0,32.05025542136067,0,2703375,1,177,502,94,105,0.004629629629629629,105,49,66.30876716537765,146,0.006437389770723104,146,0,33,0,4,2,5,1,11,12,1,15,0,0.536723163841808,0,0,85,8,60,4008
4335,5.0c,12.447830204179567,796,126,52319,11.16189158410204,51,0.0009747892734952884,51,330,23,13.196466903298326,40.24673560454522,14.194209044336706,12,0.00022936218199889145,12,12,117,50,0,339,0.3486005089058524,579,0,35.48552261084176,0,5585.111111111111,1,393,1084,310,314,0.006001643762304326,314,126,96.706990134141,104,0.0019878055773237258,104,0,29,0,3,1,6,1,37,24,3,17,0,0.5216284987277354,0,0,221,9,120,8781
4347,3.0c,12.749083577662503,539,86,41379,12.269177336276671,72,0.0017400130500978758,72,285,12,13.269264734358948,37.398052611075826,14.484029187369153,11,0.00026583532709828657,11,11,83,18,0,248,0.3839009287925697,599,0,36.21007296842288,0,4337.222222222223,1,323,743,122,395,0.00954590492762029,395,54,85.43178998420451,72,0.0017400130500978758,72,0,37,1,0,0,5,1,17,9,0,10,0,0.5201238390092879,0,0,143,9,103,6795
4455,2.0c,10.136991624135971,298,110,18270,10.405133569359514,7,0.0003831417624521073,7,99,7,10.49812112051129,52.736216272395694,11.543097000628382,0,0,0,0,28,26,0,123,0.380952380952381,309,0,28.857742501570954,0,2969.5,1,168,414,199,136,0.007443897099069513,136,75,58.74047003748713,8,0.0004378762999452655,8,0,13,2,2,0,3,1,12,9,0,12,1,0.5178571428571429,0,0,65,6,65,3107
4472,3.0c,9.465577114900489,357,44,19641,9.589815465729352,6,0.0003054834275240568,6,139,3,11.342874871356418,46.60852880824589,11.79872765559936,8,0.0004073112366987424,8,8,43,17,0,165,0.372972972972973,307,0,29.4968191389984,0,2559,1,185,417,106,202,0.010284608726643246,202,24,61.42944463196617,103,0.005244132172496308,103,0,29,0,2,0,2,3,8,8,3,5,0,0.5027027027027027,0,0,46,7,52,3414
4501,3.0c,12.892721712787534,1062,195,70312,12.002978741790532,71,0.001009784958470816,71,463,35,12.459690495600965,44.62148889642535,13.683463923980462,8,0.00011377858686995108,8,8,160,51,0,443,0.3962264150943397,538,0,34.20865980995115,0,8544.75,1,530,1669,394,433,0.006158266014336102,433,190,110.57323087088164,101,0.0014364546592331325,101,0,59,0,13,0,11,2,53,46,2,23,1,0.4981132075471698,0,0,263,8,248,11572
4650,4.0c,14.517325304640408,1167,382,73761,12.12205098872365,84,0.0011388131939642902,84,353,67,13.940994796616089,39.96282945181207,15.638696981741417,9,0.0001220156993533168,9,9,217,43,0,428,0.382716049382716,544,0,39.09674245435354,0,3756.2105263157896,1,486,1522,464,452,0.006127899567522133,452,222,113.62549434917794,64,0.0008676671954013638,64,0,50,0,30,0,9,2,39,40,4,35,0,0.5390946502057613,0,0,324,19,212,12238
4652,5.0c,14.131506699896748,715,181,55892,14.489492964298172,53,0.0009482573534674014,53,354,33,12.790041791799222,39.23266548340547,14.404844852881702,7,0.0001252415372504115,7,7,87,30,0,337,0.4238875878220141,558,0,36.01211213220425,0,3878,1,427,1183,278,241,0.004311887211049882,241,123,95.73079315955408,26,0.0004651828526443856,26,0,47,0,3,2,5,4,35,32,2,19,1,0.468384074941452,0,0,149,14,213,8599
4822,4.0c,15.259994140964425,414,174,24163,11.868128236744765,18,0.0007449406116790134,18,158,14,15.262722630938686,34.108930808762096,18.649161280712352,0,0,0,0,58,31,0,125,0.3624161073825503,350,0,46.62290320178088,0,2214.1,1,149,578,203,60,0.0024831353722633777,60,89,66.67888189973188,25,0.0010346397384430742,25,0,13,0,4,0,2,0,15,12,0,6,0,0.5503355704697986,0,0,97,10,113,4055
4849,3.0c,8.219871346956555,548,79,37701,10.07615035948734,56,0.0014853717408026311,56,191,12,9.83016126363018,50.36701776148939,10.872883635864715,9,0.00023872045834328,9,9,54,25,0,272,0.3981900452488687,354,0,27.182209089661782,0,3488.5,1,442,890,169,224,0.0059414869632105245,224,50,82.98749902328488,63,0.00167104320840296,63,0,34,0,1,0,1,1,23,15,2,13,0,0.5090497737556561,0,0,109,10,103,6398
5025,3.0c,15.374196430372088,252,31,16746,8.196183254344394,10,0.0005971575301564553,10,67,8,15.873326106685486,41.229023142079285,16.349601694060706,3,0.00017914725904693657,3,3,18,4,0,85,0.11702127659574468,858,0,40.87400423515176,0,1397.1818181818182,1,94,287,51,141,0.00841992117520602,141,19,59.25833271614081,36,0.002149767108563239,36,0,9,0,1,1,2,0,8,7,0,10,0,0.851063829787234,0,0,48,11,44,3165
5192,4.0c,13.975756709980494,371,32,25122,12.70756968215159,14,0.0005572804713000557,14,161,16,13.506248179995058,39.15500947776161,14.550424438889042,8,0.0003184459836000318,8,8,38,6,0,151,0.3258426966292135,341,0,36.3760610972226,0,2005.3636363636365,1,178,446,63,448,0.017832975081601782,448,27,66.95310782127792,8,0.0003184459836000318,8,0,35,0,0,0,5,0,11,13,0,5,0,0.5561797752808989,0,0,63,11,62,4090
5195,4.0c,10.475442792501616,237,53,19234,12.398697478991595,22,0.0011438078402828324,22,127,18,11.880856561085974,37.43656990950228,13.195110536522302,3,0.00015597379640220442,3,3,53,5,0,137,0.4,178,0,32.987776341305754,0,2562.4285714285716,1,200,390,63,106,0.005511074139544557,106,23,58.62373594069352,2,0.00010398253093480295,2,0,15,0,3,0,3,0,12,11,0,6,0,475,0,0,76,7,42,3094
5199,4.0c,10.238599596906036,293,58,21483,10.738030467899891,14,0.0006516780710329097,14,99,10,12.314866662735788,39.024151251360195,13.478387838569445,2,9.309686729041568e-05,2,2,36,12,0,133,0.31527093596059114,532,0,33.69596959642361,0,1435.071428571429,1,203,424,73,145,0.006749522878555137,145,40,63.63002556489647,18,0.0008378718056137411,18,0,20,1,6,0,3,1,14,4,1,13,0,0.5812807881773399,0,0,68,14,48,3676
5312,3.0c,11.379593992690722,138,33,9761,12.169340452261302,19,0.0019465218727589384,19,64,2,11.922740977615351,41.8043855641846,13.367016902695296,3,0.0003073455588566745,3,3,18,14,0,61,0.3636363636363637,212,0,33.41754225673824,0,1533.5,1,88,212,63,73,0.00747874193217908,73,22,42.89987468652001,12,0.001229382235426698,12,0,4,0,0,0,0,0,5,11,0,1,0,0.4886363636363637,0,0,23,6,30,1592
5813,3.0c,7.6715863834069715,673,164,58142,10.010157937640107,115,0.0019779161363558187,115,354,19,9.395279665586887,51.13452536208331,9.981986449297416,7,0.00012039489525644112,7,7,125,63,0,413,0.3351206434316354,501,0,24.954966123243537,0,5645.6,1,746,1160,556,428,0.007361287881393829,428,147,102.06563480844405,8,0.00013759416600736128,8,0,27,0,4,3,10,0,32,53,2,15,1,0.5831099195710456,0,0,176,10,183,9814
5935,4.0c,15.779636384387125,921,206,63278,13.26649752720079,79,0.0012484591801257942,79,500,26,14.970999010880316,33.89981282812144,16.272297040249565,11,0.000173836088371946,11,11,151,57,0,350,0.32564102564102565,649,0,40.68074260062391,0,6779.888888888889,1,390,1268,326,578,0.009134296279907708,578,170,103.54849576199535,124,0.001959606814374664,124,0,44,0,4,2,11,1,28,30,2,20,0,0.5743589743589743,0,0,208,9,217,10110
5962,5.0c,16.161953953984927,561,159,40837,13.164956785443517,91,0.0022283713299213947,91,212,31,14.777609815723109,37.05902848478286,16.38372298123192,13,0.00031833876141734214,13,13,118,27,0,224,0.35918367346938773,467,0,40.959307453079795,0,4297.444444444444,1,245,894,257,288,0.007052427945245733,288,127,84.20960534321048,62,0.001518231015990401,62,0,21,0,2,0,2,0,24,21,0,21,0,0.5510204081632653,0,0,165,9,168,6595
6140,5.0c,10.741067031537732,638,175,47553,11.807108743099242,59,0.0012407208798603665,59,283,28,10.992950425567468,47.00929679669352,12.428809973927072,12,0.00025235000946312536,12,12,126,47,0,371,0.3835920177383592,458,0,31.072024934817676,0,4569,1,451,1066,563,249,0.005236262696359851,249,131,91.25531145489204,67,0.00140895421950245,67,0,33,0,2,0,8,10,27,84,10,30,0,0.49445676274944567,0,0,217,10,232,7789
6220,2.0c,13.181431236128384,298,29,14473,10.612766295707477,56,0.003869273820216956,56,58,1,14.217139416644368,37.50179689590584,13.891224480158668,11,0.0007600359289711877,11,11,17,6,0,74,0.27722772277227725,395,0,34.72806120039667,0,2266.8333333333335,1,101,231,35,101,0.0069785117114627235,101,24,53.15974481593781,0,0,0,0,6,0,0,0,0,0,2,5,0,2,0,0.6732673267326733,0,0,36,6,37,2516
6418,3.0c,12.76823938761308,353,101,35101,15.006158663883088,107,0.0030483462009629355,107,262,17,13.108284873790094,29.521146865312858,13.955465300183462,6,0.00017093530098857582,6,6,107,10,0,222,0.3424242424242424,364,0,34.888663250458656,0,3285.3,1,330,650,153,318,0.00905957095239452,318,68,75.58787777583802,22,0.0006267627702914447,22,0,20,0,7,1,5,0,13,19,0,10,1,0.5393939393939394,0,0,124,10,64,5269
6558,4.0c,11.820213055119352,674,92,36148,10.773171243941842,57,0.0015768507247980524,57,298,33,12.054980173300043,47.18356812815619,13.251849927132644,6,0.00016598428682084763,6,6,93,20,0,252,0.34615384615384615,375,0,33.129624817831605,0,2374.6666666666665,1,286,732,93,304,0.00840987053225628,304,65,81.67655305108377,5,0.00013832023901737302,5,0,66,0,4,1,8,0,18,14,0,11,0,0.5209790209790209,0,0,135,15,112,6190
6611,5.0c,12.806623504784682,655,87,36379,9.080097188995214,25,0.0006872096539212183,25,166,6,13.039063492822969,49.22720444976079,14.068024880382774,8,0.00021990708925478985,8,8,59,26,0,233,208,532,0,35.170062200956934,0,3452.6,1,250,770,196,389,0.010692982215014156,389,64,84.78019320104349,76,0.0020891173479205037,76,0,44,1,2,0,1,1,38,26,2,11,0,0.7,0,0,140,10,90,6688
