fold,iD,predictedResult,targetResult
2,27745,3.053760051727295,4.0c
3,27790,4.67071008682251,5.0c
1,28017,4.203829765319824,3.0c
3,28217,5.097859859466553,5.0c
0,28394,4.276010036468506,2.0c
2,28442,2.764859914779663,4.0c
3,28611,2.11395001411438,2.0c
4,28672,3.9638800621032715,3.0c
1,28876,3.397049903869629,5.0c
0,28900,4.244589805603027,4.0c
0,28922,2.5466599464416504,4.0c
1,29136,2.867460012435913,2.0c
3,29247,3.22802996635437,4.0c
3,29678,3.1283199787139893,4.0c
3,29832,2.5525400638580322,2.0c
0,29919,4.565070152282715,5.0c
4,29922,3.9791500568389893,3.0c
3,29952,3.3329100608825684,3.0c
3,30001,1.841670036315918,4.0c
0,30012,4.508649826049805,2.0c
4,30158,3.5915699005126953,4.0c
3,30292,3.714790105819702,4.0c
1,30299,4.117090225219727,5.0c
4,30320,4.6189799308776855,5.0c
4,30322,4.338580131530762,4.0c
2,30367,3.948309898376465,5.0c
4,30467,4.583630084991455,5.0c
1,30769,3.8649098873138428,4.0c
3,30903,4.0052900314331055,5.0c
2,30906,4.564199924468994,4.0c
3,31161,2.7913999557495117,3.0c
2,31258,3.2302401065826416,2.0c
4,31275,4.537179946899414,5.0c
2,31353,4.281390190124512,5.0c
2,31392,3.812880039215088,5.0c
1,31453,4.446609973907471,3.0c
1,31497,3.1515700817108154,2.0c
1,31501,3.252079963684082,2.0c
0,31586,4.517769813537598,3.0c
0,31717,3.8847599029541016,4.0c
2,31734,2.5289900302886963,2.0c
3,32031,4.202459812164307,3.0c
1,32512,4.026440143585205,3.0c
4,32551,2.2651898860931396,1.0c
0,32578,4.541749954223633,2.0c
1,33613,3.547300100326538,4.0c
1,33684,4.523540019989014,5.0c
1,33709,4.146629810333252,3.0c
1,33879,4.634099960327148,5.0c
2,33941,4.435790061950684,5.0c
4,33972,2.6307599544525146,2.0c
0,34040,4.956999778747559,5.0c
4,34197,3.4952399730682373,2.0c
4,34258,3.5296900272369385,3.0c
3,34484,4.092249870300293,4.0c
2,36790,2.1079299449920654,2.0c
0,36812,4.34004020690918,5.0c
3,36896,4.479100227355957,5.0c
4,37407,4.2477498054504395,4.0c
4,37479,1.3042099475860596,2.0c
1,37589,4.379439830780029,5.0c
1,37749,2.647469997406006,2.0c
1,37756,5.264589786529541,5.0c
4,37782,4.250720024108887,5.0c
3,37913,2.6893999576568604,2.0c
4,38173,3.5863800048828125,3.0c
2,38214,4.3584699630737305,5.0c
1,38330,4.113009929656982,2.0c
3,38579,3.4847099781036377,4.0c
2,38930,5.034969806671143,5.0c
4,39086,3.1763100624084473,2.0c
2,39418,4.118840217590332,3.0c
0,40142,3.0963499546051025,2.0c
0,40233,4.128550052642822,3.0c
1,40673,4.27931022644043,5.0c
1,41524,4.726409912109375,4.0c
3,41879,3.327280044555664,4.0c
4,42009,2.1079299449920654,2.0c
3,42029,4.253719806671143,5.0c
1,42540,3.9135100841522217,4.0c
3,42716,4.048799991607666,3.0c
3,42787,4.232960224151611,4.0c
1,42799,3.3108201026916504,4.0c
2,42902,4.150879859924316,5.0c
2,43384,4.2806501388549805,4.0c
0,43569,3.095489978790283,2.0c
4,43617,3.942039966583252,4.0c
0,43717,3.808300018310547,5.0c
2,43824,4.044839859008789,3.0c
4,43951,3.518199920654297,3.0c
2,43972,2.4495201110839844,4.0c
3,44186,4.998509883880615,5.0c
1,44469,5.437170028686523,5.0c
0,44475,5.014880180358887,5.0c
1,44539,1.7516000270843506,4.0c
4,44592,3.104530096054077,5.0c
4,44714,1.1407500505447388,2.0c
0,44883,4.640270233154297,5.0c
2,44905,4.574349880218506,5.0c
2,45492,2.132430076599121,2.0c
3,45609,4.022290229797363,2.0c
4,46006,3.668570041656494,4.0c
2,46634,4.513120174407959,5.0c
4,46684,3.735300064086914,5.0c
1,46744,4.701869964599609,5.0c
4,46793,4.2492499351501465,5.0c
3,46817,4.439070224761963,4.0c
0,46833,3.5545499324798584,3.0c
4,46853,4.380189895629883,3.0c
4,46973,3.8574700355529785,4.0c
4,47910,2.1783900260925293,2.0c
2,48064,4.7970099449157715,5.0c
3,48404,2.149590015411377,2.0c
0,48571,1.7495800256729126,1.0c
1,48607,4.282700061798096,2.0c
2,48664,4.376870155334473,5.0c
2,48672,4.1155500411987305,4.0c
1,48820,3.499119997024536,4.0c
2,48824,2.7516798973083496,1.0c
3,49147,4.368189811706543,3.0c
1,49598,4.143089771270752,3.0c
3,49603,4.215479850769043,4.0c
3,49860,4.6322197914123535,5.0c
4,49870,4.041299819946289,4.0c
4,49905,2.1720800399780273,1.0c
1,50449,3.686350107192993,3.0c
3,50518,3.731110095977783,5.0c
3,50601,4.411200046539307,5.0c
0,50603,4.693540096282959,5.0c
1,50745,3.550869941711426,2.0c
3,50807,2.7738399505615234,4.0c
0,51962,4.429800033569336,4.0c
1,52222,3.8700499534606934,4.0c
0,52713,4.6180500984191895,5.0c
4,52753,4.165339946746826,3.0c
2,52754,4.207399845123291,5.0c
3,52756,4.581520080566406,5.0c
0,52830,3.939690113067627,3.0c
1,52974,2.3571300506591797,1.0c
3,53045,4.0817999839782715,4.0c
0,53070,3.992729902267456,4.0c
4,53258,3.0585598945617676,4.0c
0,53560,0.6394249796867371,1.0c
1,53597,3.3737399578094482,2.0c
2,53869,4.177289962768555,5.0c
4,54001,3.0754899978637695,4.0c
0,54166,4.425640106201172,4.0c
1,54205,3.8007400035858154,2.0c
3,54232,2.476749897003174,2.0c
4,54306,4.384359836578369,3.0c
1,54410,4.511789798736572,5.0c
1,54887,2.622159957885742,2.0c
1,55097,2.9380900859832764,2.0c
4,55117,2.551990032196045,2.0c
0,55693,4.093400001525879,4.0c
4,56043,4.618720054626465,5.0c
0,56142,4.397079944610596,4.0c
2,56170,2.1510000228881836,2.0c
3,56481,4.2529401779174805,4.0c
4,56483,4.558780193328857,5.0c
4,56504,4.168139934539795,4.0c
4,56542,2.9405200481414795,2.0c
0,56864,2.542340040206909,1.0c
0,57101,4.999340057373047,5.0c
2,57212,4.104179859161377,5.0c
1,57458,3.9908499717712402,3.0c
0,57585,4.50806999206543,5.0c
2,57621,3.1665499210357666,4.0c
0,57877,3.1835598945617676,4.0c
4,58376,4.821780204772949,5.0c
4,58687,3.023159980773926,2.0c
2,58791,4.3204498291015625,5.0c
3,58953,3.0593700408935547,1.0c
2,59071,3.0346601009368896,4.0c
4,59746,3.293030023574829,4.0c
0,59812,0.09298089891672134,0.0c
4,59993,4.644420146942139,5.0c
4,60737,3.1272599697113037,4.0c
1,60845,4.95890998840332,5.0c
3,60907,1.8050899505615234,2.0c
2,60969,4.352479934692383,4.0c
2,61097,3.3127601146698,5.0c
1,61273,1.3693300485610962,2.0c
3,61322,4.91880989074707,5.0c
3,61949,2.512120008468628,1.0c
0,61990,3.5792300701141357,4.0c
0,62114,2.792520046234131,2.0c
1,62480,4.973559856414795,5.0c
0,62696,4.755770206451416,5.0c
0,62810,3.884779930114746,2.0c
0,63156,2.6420600414276123,2.0c
2,63444,3.08063006401062,2.0c
0,63522,4.606800079345703,3.0c
4,63698,3.970099925994873,4.0c
0,63837,1.6532299518585205,4.0c
3,63844,1.9095499515533447,4.0c
0,64646,4.490029811859131,3.0c
4,64673,4.021090030670166,3.0c
1,64906,3.124419927597046,5.0c
3,65735,4.783949851989746,3.0c
2,66331,4.444580078125,5.0c
2,66402,3.8542299270629883,3.0c
1,66440,4.466279983520508,4.0c
1,66495,2.7236599922180176,3.0c
1,66572,3.3236498832702637,4.0c
1,66743,4.0328898429870605,5.0c
4,66910,2.0867300033569336,1.0c
3,66951,4.8814802169799805,4.0c
0,67055,3.707659959793091,4.0c
3,67511,3.478950023651123,3.0c
4,67538,4.115170001983643,5.0c
1,68392,3.3582799434661865,2.0c
2,68493,4.06689977645874,5.0c
1,68854,4.250909805297852,5.0c
4,69795,3.5299599170684814,5.0c
2,69887,2.1558899879455566,1.0c
2,70318,4.154839992523193,5.0c
1,70576,1.361299991607666,4.0c
3,70760,3.6523098945617676,4.0c
0,70948,4.00462007522583,3.0c
3,70983,4.700479984283447,4.0c
2,71079,3.0293900966644287,3.0c
3,71234,3.2664899826049805,1.0c
2,71966,4.674699783325195,5.0c
4,71989,4.67765998840332,5.0c
4,73131,4.290209770202637,3.0c
2,73842,1.8034000396728516,2.0c
3,74573,4.539549827575684,5.0c
0,75233,4.819230079650879,5.0c
1,76511,4.334479808807373,4.0c
0,76592,3.759660005569458,2.0c
1,77385,2.515010118484497,2.0c
4,77485,2.317150115966797,2.0c
0,77884,3.3924400806427,2.0c
4,78160,4.910980224609375,5.0c
2,79583,2.954580068588257,2.0c
3,80130,3.0681400299072266,3.0c
3,80149,2.3165199756622314,2.0c
3,80833,2.0402700901031494,1.0c
2,80900,4.260499954223633,5.0c
1,81061,4.708539962768555,5.0c
2,81215,3.232599973678589,2.0c
4,81565,3.384010076522827,3.0c
0,81580,2.4754600524902344,4.0c
4,82963,4.640620231628418,4.0c
2,83440,3.808540105819702,5.0c
4,84137,3.6683599948883057,5.0c
0,86546,4.114560127258301,3.0c
4,87145,3.544559955596924,2.0c
3,88079,1.6544500589370728,1.0c
1,88678,4.134759902954102,4.0c
1,88885,4.657470226287842,5.0c
1,88916,2.8345301151275635,2.0c
4,89074,4.572020053863525,5.0c
3,89488,4.495810031890869,3.0c
3,89684,2.269850015640259,4.0c
3,89807,2.8558199405670166,3.0c
0,90506,-0.1752379983663559,0.0c
3,90625,2.3951900005340576,3.0c
4,91099,3.3073599338531494,4.0c
3,93749,1.594040036201477,1.0c
0,93815,3.6455399990081787,5.0c
0,95129,3.345050096511841,4.0c
1,95440,0.928521990776062,1.0c
0,96081,1.844059944152832,4.0c
2,97066,3.9719600677490234,4.0c
2,97295,1.2286900281906128,1.0c
3,97646,2.2617499828338623,2.0c
0,97803,2.314079999923706,1.0c
1,98616,4.2635698318481445,4.0c
4,98779,3.297139883041382,4.0c
0,98927,4.188360214233398,5.0c
2,99491,4.218500137329102,3.0c
1,99656,1.5145100355148315,2.0c
0,100062,4.379630088806152,4.0c
4,100132,0.0511666014790535,0.0c
2,101135,3.83981990814209,4.0c
2,101594,4.805759906768799,5.0c
1,101914,3.5604000091552734,5.0c
3,102445,3.97517991065979,3.0c
1,102490,4.407199859619141,4.0c
0,102930,3.2968099117279053,5.0c
0,102952,4.362090110778809,5.0c
1,102994,3.0462400913238525,2.0c
0,103400,-0.07583510130643845,0.0c
0,104690,2.1222400665283203,2.0c
3,105391,4.559919834136963,5.0c
4,106128,3.977400064468384,5.0c
0,106155,2.444969892501831,3.0c
3,107387,1.2599799633026123,0.0c
4,107591,1.4555699825286865,1.0c
4,107783,3.178760051727295,2.0c
2,108110,2.4484200477600098,2.0c
2,108151,3.2682900428771973,2.0c
3,109021,4.65093994140625,4.0c
3,109495,4.212870121002197,2.0c
1,110118,1.2869499921798706,1.0c
0,112339,0.737870991230011,1.0c
3,113145,2.2014200687408447,4.0c
4,113678,4.413839817047119,4.0c
1,115182,0.891156017780304,0.0c
1,115522,3.244610071182251,2.0c
0,116732,2.982909917831421,2.0c
4,120295,0.6817929744720459,1.0c
2,121732,0.7877280116081238,1.0c
3,122329,3.5376899242401123,2.0c
0,122452,1.905310034751892,1.0c
1,125291,4.383029937744141,5.0c
3,125311,3.7020299434661865,3.0c
4,125561,2.238840103149414,1.0c
4,128549,4.691949844360352,5.0c
4,128759,0.6335210204124451,1.0c
3,129194,4.522359848022461,3.0c
2,133874,3.0518500804901123,3.0c
1,135611,0.9822980165481567,1.0c
3,135801,0.9853519797325134,1.0c
4,137473,3.2411398887634277,5.0c
1,137522,0.9139000177383423,0.0c
2,138726,1.2981200218200684,0.0c
2,138791,0.9245420098304749,0.0c
0,140437,1.2956000566482544,1.0c
0,140899,3.4740400314331055,4.0c
3,141875,1.0656299591064453,1.0c
3,142292,3.62103009223938,5.0c
3,142990,2.228909969329834,2.0c
2,143130,2.8633899688720703,3.0c
3,143713,0.40652701258659363,1.0c
3,144155,3.639970064163208,5.0c
3,144810,4.169429779052734,5.0c
3,144936,5.2898101806640625,5.0c
2,145830,3.684969902038574,3.0c
3,146595,4.410190105438232,5.0c
4,146660,3.443690061569214,4.0c
4,146742,3.9173600673675537,4.0c
3,146791,2.428849935531616,2.0c
2,147019,4.151350021362305,5.0c
3,147429,4.908959865570068,5.0c
4,148415,2.3589999675750732,1.0c
3,148453,2.040479898452759,1.0c
0,149289,3.779910087585449,5.0c
3,150116,4.037779808044434,5.0c
1,150969,4.881050109863281,5.0c
1,151232,5.118500232696533,4.0c
4,151608,3.936769962310791,5.0c
3,151701,1.6769100427627563,2.0c
3,151839,4.552209854125977,3.0c
1,153008,3.569089889526367,4.0c
2,153182,0.9679509997367859,1.0c
3,153557,4.07125997543335,5.0c
4,153647,3.425529956817627,2.0c
1,154034,4.028510093688965,3.0c
1,155160,2.367759943008423,2.0c
1,156618,3.9619901180267334,3.0c
0,157304,3.048640012741089,2.0c
1,157472,3.8343899250030518,5.0c
2,157606,2.777009963989258,3.0c
4,157804,0.7160850167274475,1.0c
0,157814,4.568049907684326,5.0c
1,158177,4.982729911804199,3.0c
4,158539,2.529289960861206,2.0c
1,158893,2.591249942779541,2.0c
3,158902,4.961349964141846,5.0c
0,158991,1.726930022239685,2.0c
2,159083,4.96875,4.0c
3,159160,3.8334600925445557,4.0c
2,159833,2.4003400802612305,2.0c
1,160300,4.648009777069092,4.0c
4,161459,4.405449867248535,4.0c
2,161670,3.3454599380493164,4.0c
4,162296,2.7686800956726074,4.0c
1,163887,2.5657100677490234,2.0c
0,164225,3.6090099811553955,4.0c
3,165296,5.009809970855713,3.0c
1,165404,3.0498900413513184,4.0c
4,165926,4.238140106201172,5.0c
1,166276,1.6623599529266357,1.0c
4,166605,4.124420166015625,3.0c
1,167051,2.9003400802612305,1.0c
2,167609,3.903510093688965,5.0c
2,168706,3.002229928970337,4.0c
1,168715,4.706709861755371,4.0c
1,169107,2.719180107116699,2.0c
4,169523,4.812280178070068,5.0c
4,169900,1.9500999450683594,4.0c
1,170870,2.866420030593872,4.0c
1,171020,3.1702499389648438,4.0c
4,171080,5.157410144805908,5.0c
3,171162,4.578239917755127,3.0c
4,171527,0.9721840023994446,1.0c
1,172049,1.0964699983596802,1.0c
1,172273,2.81469988822937,4.0c
1,172717,1.5093799829483032,4.0c
3,174857,1.8428499698638916,4.0c
4,175071,2.881580114364624,2.0c
2,175801,2.7918100357055664,2.0c
1,177174,3.842910051345825,4.0c
0,177538,4.0555100440979,5.0c
3,179328,3.0336201190948486,2.0c
1,179375,0.28159299492836,0.0c
2,179513,4.797850131988525,5.0c
0,180475,3.6401801109313965,2.0c
0,180750,3.663209915161133,4.0c
2,182144,2.1404900550842285,1.0c
1,182792,3.972559928894043,2.0c
4,183256,1.9009300470352173,4.0c
2,184678,4.04118013381958,4.0c
4,184774,4.441009998321533,5.0c
4,184779,4.222320079803467,2.0c
2,185979,3.044480085372925,2.0c
3,186266,3.9092700481414795,4.0c
3,186724,1.568750023841858,2.0c
4,187381,2.7614800930023193,4.0c
4,187607,0.4445520043373108,0.0c
0,187769,2.2426400184631348,4.0c
1,187861,1.8413300514221191,1.0c
4,187946,4.384469985961914,5.0c
4,188077,4.1074700355529785,3.0c
3,189351,4.416600227355957,5.0c
4,189654,2.4096200466156006,2.0c
4,191846,3.255079984664917,2.0c
0,192551,3.2285799980163574,4.0c
2,194557,4.752280235290527,5.0c
0,195493,1.9179400205612183,1.0c
0,196121,2.6050000190734863,2.0c
2,197367,3.50846004486084,2.0c
3,198089,4.4482197761535645,5.0c
2,198433,4.417510032653809,3.0c
4,199483,4.216639995574951,3.0c
0,199665,3.6432700157165527,5.0c
2,199932,3.3338301181793213,4.0c
4,201087,2.0484800338745117,1.0c
4,201184,4.124460220336914,3.0c
3,202693,0.9758309721946716,1.0c
0,203407,4.528940200805664,5.0c
2,203501,3.2776401042938232,2.0c
0,203756,4.269309997558594,5.0c
0,203860,4.043829917907715,5.0c
4,204281,4.10306978225708,2.0c
3,204637,2.6091699600219727,5.0c
0,205635,2.189110040664673,1.0c
2,205707,2.426529884338379,2.0c
4,206029,2.705430030822754,3.0c
3,206337,5.035709857940674,5.0c
4,206442,4.95265007019043,5.0c
0,206947,3.223750114440918,5.0c
2,207036,2.0368900299072266,4.0c
4,207068,2.6757099628448486,2.0c
4,207227,3.490220069885254,2.0c
0,208430,4.637249946594238,5.0c
1,210213,3.934309959411621,4.0c
2,210280,3.880729913711548,3.0c
4,210494,3.534290075302124,2.0c
2,211899,4.892250061035156,3.0c
0,212187,4.063690185546875,5.0c
4,214233,4.010069847106934,4.0c
4,214799,3.9706099033355713,5.0c
1,216017,4.267399787902832,5.0c
0,216169,4.631649971008301,3.0c
1,216855,3.777139902114868,5.0c
2,216965,2.2933099269866943,4.0c
1,217513,4.4106597900390625,3.0c
3,218181,3.641710042953491,4.0c
1,218299,3.2484700679779053,4.0c
2,218754,3.5926499366760254,4.0c
2,219620,1.1614099740982056,2.0c
0,222324,0.13770900666713715,1.0c
2,222568,4.097040176391602,5.0c
3,222788,3.648099899291992,3.0c
2,222902,3.318540096282959,2.0c
3,223640,3.606879949569702,3.0c
0,224148,3.277060031890869,3.0c
0,224173,4.489980220794678,3.0c
1,224443,4.058050155639648,5.0c
3,224478,3.3325600624084473,4.0c
0,225607,2.7035999298095703,4.0c
3,225970,1.910889983177185,2.0c
3,227244,4.21235990524292,4.0c
3,227254,2.007960081100464,2.0c
2,227494,4.171669960021973,5.0c
0,227533,2.4197700023651123,4.0c
4,227879,3.557349920272827,4.0c
0,229654,0.7757880091667175,1.0c
1,230932,1.6637099981307983,1.0c
3,231223,2.8067400455474854,4.0c
